,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
14,"Harbourfront East, Union Station, Toronto Islands",Coffee Shop,Aquarium,Hotel,Café,Pizza Place,Fried Chicken Joint,Restaurant,Scenic Lookout,Brewery,Sporting Goods Shop
15,"High Park, The Junction South",Grocery Store,Mexican Restaurant,Café,Thai Restaurant,Liquor Store,Arts & Crafts Store,Discount Store,Diner,Bar,Italian Restaurant
16,"India Bazaar, The Beaches West",Gym,Sushi Restaurant,Steakhouse,Fish & Chips Shop,Fast Food Restaurant,Italian Restaurant,Light Rail Station,Liquor Store,Sandwich Place,Brewery
17,"Kensington Market, Chinatown, Grange Park",Café,Vegetarian / Vegan Restaurant,Coffee Shop,Vietnamese Restaurant,Bar,Mexican Restaurant,Park,Grocery Store,Pizza Place,Dumpling Restaurant
18,Lawrence Park,Bus Line,Park,Swim School,Yoga Studio,Escape Room,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Donut Shop,Doner Restaurant
19,"Little Portugal, Trinity",Bar,Men's Store,Restaurant,Vietnamese Restaurant,Café,Coffee Shop,Asian Restaurant,Miscellaneous Shop,Record Shop,Pizza Place
20,"Moore Park, Summerhill East",Trail,Tennis Court,Restaurant,Park,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Donut Shop,Doner Restaurant,Department Store
21,"North Toronto West, Lawrence Park",Clothing Store,Coffee Shop,Sporting Goods Shop,Health & Beauty Service,Furniture / Home Store,Ice Cream Shop,Fast Food Restaurant,Diner,Mexican Restaurant,Park
22,"Parkdale, Roncesvalles",Gift Shop,Breakfast Spot,Bookstore,Dog Run,Italian Restaurant,Dessert Shop,Movie Theater,Bar,Cuban Restaurant,Eastern European Restaurant
23,"Queen's Park, Ontario Provincial Government",Coffee Shop,Yoga Studio,Diner,Portuguese Restaurant,Persian Restaurant,Park,Mexican Restaurant,Italian Restaurant,Hobby Shop,Fried Chicken Joint
24,"Regent Park, Harbourfront",Coffee Shop,Bakery,Café,Park,Breakfast Spot,Pub,Theater,Mexican Restaurant,Shoe Store,Restaurant
25,"Richmond, Adelaide, King",Coffee Shop,Café,Gym,Restaurant,Clothing Store,Bar,Thai Restaurant,Hotel,Salad Place,Lounge
26,Rosedale,Park,Trail,Playground,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Yoga Studio
27,Roselawn,Pool,Garden,Yoga Studio,Department Store,Escape Room,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Donut Shop,Doner Restaurant
28,"Runnymede, Swansea",Coffee Shop,Pizza Place,Café,Pub,Sushi Restaurant,Italian Restaurant,Yoga Studio,French Restaurant,Restaurant,Post Office
29,St. James Town,Coffee Shop,Café,Restaurant,Cocktail Bar,American Restaurant,Gastropub,Beer Bar,Gym,Park,Cosmetics Shop
30,"St. James Town, Cabbagetown",Park,Coffee Shop,Pet Store,Restaurant,Italian Restaurant,Pub,Café,Bakery,Pizza Place,Pharmacy
31,Stn A PO Boxes,Coffee Shop,Seafood Restaurant,Café,Pub,Restaurant,Japanese Restaurant,Beer Bar,Italian Restaurant,Hotel,Gym
32,Studio District,Café,Coffee Shop,Gastropub,Bakery,Brewery,American Restaurant,Comfort Food Restaurant,Bookstore,Sandwich Place,Cheese Shop
33,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",Pub,Coffee Shop,Liquor Store,Vietnamese Restaurant,Supermarket,Sushi Restaurant,Light Rail Station,Pizza Place,American Restaurant,Bank
34,"The Annex, North Midtown, Yorkville",Sandwich Place,Café,Coffee Shop,History Museum,Donut Shop,Burger Joint,Middle Eastern Restaurant,Flower Shop,Pub,Indian Restaurant
35,The Beaches,Asian Restaurant,Pub,Health Food Store,Trail,Yoga Studio,Doner Restaurant,Diner,Discount Store,Distribution Center,Dog Run
36,"The Danforth West, Riverdale",Greek Restaurant,Coffee Shop,Italian Restaurant,Furniture / Home Store,Restaurant,Ice Cream Shop,Cosmetics Shop,Brewery,Bubble Tea Shop,Café
37,"Toronto Dominion Centre, Design Exchange",Coffee Shop,Hotel,Café,Restaurant,American Restaurant,Seafood Restaurant,Gastropub,Salad Place,Italian Restaurant,Japanese Restaurant
38,"University of Toronto, Harbord",Café,Bookstore,Bar,Japanese Restaurant,Bakery,Sandwich Place,Yoga Studio,Italian Restaurant,Beer Bar,Beer Store
